enrollment,has_results,num_outcome_measures,num_primary_outcomes,num_secondary_outcomes,num_p_values_in_primary,enrollment_missing,trial_duration_months,is_top_pharma,sponsor_trial_count,has_placebo,design_quality_score,allocation_RANDOMIZED,allocation_UNKNOWN,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,intervention_model_UNKNOWN,primary_purpose_DIAGNOSTIC,primary_purpose_HEALTH_SERVICES_RESEARCH,primary_purpose_OTHER,primary_purpose_PREVENTION,primary_purpose_SUPPORTIVE_CARE,primary_purpose_TREATMENT,masking_NONE,masking_QUADRUPLE,masking_SINGLE,masking_TRIPLE,sponsor_type_NIH,sponsor_type_OTHER,sponsor_type_OTHER_GOV,nct_id,success
-0.7218090715589476,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,-0.284340290058765,0,-0.8575680939971622,0,-0.6001381762213445,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,NCT02324309,0.0
-0.5469342145465377,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,0.21153728959956447,1,-0.06710544348884577,0,-0.6001381762213445,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,NCT01725672,0.0
0.06512778499689707,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,-0.08598925819543321,0,-0.8575680939971622,0,0.10111737323641892,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,NCT00971659,0.0
-0.10974707201551284,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,2.1950476082328825,1,0.9868447571889094,0,-0.6001381762213445,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,NCT00554450,1.0
-0.2409032147748203,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,-0.3835158059904309,0,-0.8815215076489293,1,1.5036284721519457,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,NCT01154348,0.0
3.3877500682326853,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,1.1041169329845575,0,-0.8815215076489293,0,-0.6001381762213445,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,NCT00727896,0.0
-0.04416900063585913,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,1.3024679648478892,1,2.112655198821966,1,0.8023729226941824,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,NCT01511692,0.0
-0.4157780717872302,True,0.7202142596027092,1.806916845416324,-0.3020677352239634,0,0,-0.8793933856487604,1,-0.06710544348884577,0,-1.301393725679108,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,NCT01332071,0.0
0.5897523560341268,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,-0.18516477412709909,1,-0.06710544348884577,1,0.10111737323641892,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,NCT00404963,0.0
-0.45949678604033267,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,1.6991700285745528,1,-0.7857078530418606,0,0.10111737323641892,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,NCT00464880,0.0
-0.852965214318255,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,-0.7802178697170944,1,0.4119628295464975,0,-2.0026492751368714,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,NCT01127308,0.0
0.5897523560341268,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,-0.48269132192209674,0,-0.7378010257383263,1,1.5036284721519457,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,NCT06435676,0.0
1.5734234267289327,True,9.368734827186229,12.562652717053085,4.644227104593305,9,0,-0.08598925819543321,1,0.10056845207352438,1,0.8023729226941824,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NCT01856595,1.0
0.4148774990217169,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,-0.48269132192209674,1,2.112655198821966,1,0.8023729226941824,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,NCT01516255,0.0
-0.28462192902792277,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,-0.48269132192209674,1,0.10056845207352438,1,0.8023729226941824,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NCT01202266,0.0
1.2236737127041128,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,0.013186257736232686,1,2.112655198821966,1,0.8023729226941824,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,NCT01405261,0.0
0.10884649924999955,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,1.500818996711221,0,-0.833614680345395,0,-2.0026492751368714,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,NCT00862433,0.0
-0.13160642914206408,False,-0.33878825887690545,-0.2748384845778875,-0.3020677352239634,0,0,-0.6810423537854285,1,-0.06710544348884577,0,-0.6001381762213445,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,NCT00605449,0.0
